,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Alphabet Size
0,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,1,2.9226180950645357,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
1,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,2,3.0201460130047053,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
2,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,3,2.9414540759753436,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
3,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,4,3.0239360589766875,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
4,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,5,2.947747465921566,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
5,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,6,2.9792737580137327,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
6,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,7,2.908559358911589,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
7,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,8,2.95206031401176,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
8,WLStarLearner,PDFA - 06c7ec8b1cca424e8fdf2843ce94d08c,99,99,9,2.946817961987108,588,1,199.0,3.0,,,0.0,0.0,1.0,0,0,2
9,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,1,2.319061580928974,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
10,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,2,2.2625016720267013,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
11,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,3,2.3433662250172347,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
12,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,4,2.3031277630943805,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
13,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,5,2.3241176600567997,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
14,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,6,2.2742428899509832,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
15,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,7,2.220350519986823,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
16,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,8,2.233492471044883,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
17,WLStarLearner,PDFA - e74c3249487c4445bd587ea4870813e5,97,97,9,2.1986160919768736,576,1,195.0,3.0,,,0.0,0.0,1.0,0,0,2
18,WLStarLearner,PDFA - b01f1027d7fe48a097ba750b1a4d27ce,103,103,1,2.452971625025384,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
19,WLStarLearner,PDFA - b01f1027d7fe48a097ba750b1a4d27ce,103,103,2,2.343965808977373,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
20,WLStarLearner,PDFA - b01f1027d7fe48a097ba750b1a4d27ce,103,103,3,2.5255571390734985,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
21,WLStarLearner,PDFA - b01f1027d7fe48a097ba750b1a4d27ce,103,103,4,2.3193980610230938,612,1,207.0,3.0,,,0.0,0.0,1.0,0,0,2
