,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,Partitions,Tolerance
0,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,1,5.176441985997371,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
1,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,2,5.171540454990463,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
2,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,5.140350205998402,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
3,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,4,5.110608229995705,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
4,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,5,5.199405853985809,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
5,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,6,5.146854891994735,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
6,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,7,5.2431734499987215,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
7,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,8,5.0847305030038115,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
8,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,9,5.19242136599496,2862,8,261.0,11.0,,,0.0,0.0,1.0,0,0,10,0.1
9,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,1,3.932771246007178,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
10,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,2,3.970481638010824,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
11,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,3.888987256010296,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
12,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,4,3.800458349986002,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
13,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,5,3.88742285000626,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
14,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,6,3.742084431985859,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
15,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,7,3.9276741429930553,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
16,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,8,3.842392188991653,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
17,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,9,3.7500501349859405,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,100,0.01
18,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,1,4.408626445016125,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
19,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,2,4.494701307005016,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
20,WLStarLearner,PDFA - 894a8ef9a14940c4bfdacf0f6f81b43a,110,110,3,4.2977771870209835,883,2,223.0,4.0,,,0.0,0.0,1.0,0,0,500,0.002
