,Algorithm,Instance,Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,LogProbError,WER,NDCG,OOPartition,OOTolerance
0,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,1,45.93603138811886,5994,7,,,0,0.0,0.0,1.0,0,0
1,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,2,46.17116748355329,5994,7,,,0,0.0,0.0,1.0,0,0
2,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,3,46.21312724612653,5994,7,,,0,0.0,0.0,1.0,0,0
3,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,4,46.32564193196595,5994,7,,,0,0.0,0.0,1.0,0,0
4,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,5,46.433705972507596,5994,7,,,0,0.0,0.0,1.0,0,0
5,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,6,46.468361197039485,5994,7,,,0,0.0,0.0,1.0,0,0
6,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,7,46.1807016544044,5994,7,,,0,0.0,0.0,1.0,0,0
7,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,8,46.43868354149163,5994,7,,,0,0.0,0.0,1.0,0,0
8,QuantNaryTreeLearner,PDFA - e99d6bde07aa40e483b4bb1665c6058f,992,9,47.05810299515724,5994,7,,,0,0.0,0.0,1.0,0,0
9,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,1,40.363937705755234,6066,3,,,0,0.0,0.0,1.0,0,0
10,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,2,40.359553219750524,6066,3,,,0,0.0,0.0,1.0,0,0
11,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,3,40.3391051646322,6066,3,,,0,0.0,0.0,1.0,0,0
12,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,4,40.21328155323863,6066,3,,,0,0.0,0.0,1.0,0,0
13,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,5,40.266957860440016,6066,3,,,0,0.0,0.0,1.0,0,0
14,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,6,41.15750350430608,6066,3,,,0,0.0,0.0,1.0,0,0
15,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,7,40.28693998232484,6066,3,,,0,0.0,0.0,1.0,0,0
16,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,8,40.3032839782536,6066,3,,,0,0.0,0.0,1.0,0,0
17,QuantNaryTreeLearner,PDFA - bcccb09f889b4cac943654d804fa2f54,1009,9,40.97364144399762,6066,3,,,0,0.0,0.0,1.0,0,0
18,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,1,42.945741051808,6165,4,,,0,0.0,0.0,1.0,0,0
19,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,2,42.78369094803929,6165,4,,,0,0.0,0.0,1.0,0,0
20,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,3,43.36900809593499,6165,4,,,0,0.0,0.0,1.0,0,0
21,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,4,43.176390148699284,6165,4,,,0,0.0,0.0,1.0,0,0
22,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,5,42.75115987099707,6165,4,,,0,0.0,0.0,1.0,0,0
23,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,6,42.763839019462466,6165,4,,,0,0.0,0.0,1.0,0,0
24,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,7,43.42965421453118,6165,4,,,0,0.0,0.0,1.0,0,0
25,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,8,42.88867437839508,6165,4,,,0,0.0,0.0,1.0,0,0
26,QuantNaryTreeLearner,PDFA - 692d8a6190664c79b5f17e4dddc89772,1019,9,42.646628838032484,6165,4,,,0,0.0,0.0,1.0,0,0
27,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,1,44.063386015594006,6102,4,,,0,0.0,0.0,1.0,0,0
28,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,2,43.63181992433965,6102,4,,,0,0.0,0.0,1.0,0,0
29,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,3,43.441703932359815,6102,4,,,0,0.0,0.0,1.0,0,0
30,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,4,43.547676583752036,6102,4,,,0,0.0,0.0,1.0,0,0
31,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,5,44.22814600728452,6102,4,,,0,0.0,0.0,1.0,0,0
32,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,6,43.464570021256804,6102,4,,,0,0.0,0.0,1.0,0,0
33,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,7,43.33982237055898,6102,4,,,0,0.0,0.0,1.0,0,0
34,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,8,43.27479029260576,6102,4,,,0,0.0,0.0,1.0,0,0
35,QuantNaryTreeLearner,PDFA - 57566c69cfce476693ce60354aed41b6,1015,9,43.053625389933586,6102,4,,,0,0.0,0.0,1.0,0,0
36,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,1,38.95631659030914,5973,2,,,0,0.0,0.0,1.0,0,0
37,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,2,37.31862385571003,5973,2,,,0,0.0,0.0,1.0,0,0
38,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,3,38.16277860291302,5973,2,,,0,0.0,0.0,1.0,0,0
39,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,4,37.306164875626564,5973,2,,,0,0.0,0.0,1.0,0,0
40,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,5,38.07675816118717,5973,2,,,0,0.0,0.0,1.0,0,0
41,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,6,38.11889779753983,5973,2,,,0,0.0,0.0,1.0,0,0
42,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,7,37.22628335841,5973,2,,,0,0.0,0.0,1.0,0,0
43,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,8,38.840499982237816,5973,2,,,0,0.0,0.0,1.0,0,0
44,QuantNaryTreeLearner,PDFA - 181332f7d7354b559e85ef11ec6d2d20,994,9,37.34672157280147,5973,2,,,0,0.0,0.0,1.0,0,0
45,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,1,43.206548577174544,6105,4,,,0,0.0,0.0,1.0,0,0
46,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,2,43.1514031291008,6105,4,,,0,0.0,0.0,1.0,0,0
47,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,3,43.604549530893564,6105,4,,,0,0.0,0.0,1.0,0,0
48,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,4,43.62355953082442,6105,4,,,0,0.0,0.0,1.0,0,0
49,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,5,43.6684685125947,6105,4,,,0,0.0,0.0,1.0,0,0
50,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,6,43.76205245219171,6105,4,,,0,0.0,0.0,1.0,0,0
51,QuantNaryTreeLearner,PDFA - 61e1e425eacf45fea580941683120978,1014,7,43.014820631593466,6105,4,,,0,0.0,0.0,1.0,0,0
