,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time (s),LastTokenQuery,EquivalenceQuery,OT Prefixes,OT Suffixes,Tree Depth,Inner Nodes,LogProbError,WER,NDCG,OOPartition,OOTolerance,AbsoluteError
0,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,1,28.14103022799827,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
1,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,2,29.271678631892428,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
2,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,3,28.209840605966747,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
3,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,4,29.22120866412297,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
4,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,5,28.24756822292693,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
5,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,6,28.2972543630749,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
6,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,7,28.377984853927046,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
7,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,8,28.498087666928768,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
8,WLStarLearner,random_PDFA_nominal_size_200_10_0,193,193,9,27.184724038932472,3888,6,433.0,9.0,,,0.0,0.0,1.0,0,0,0.0
9,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,1,35.63688612706028,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
10,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,2,35.28554895101115,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
11,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,3,43.3404928999953,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
12,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,4,35.08126845303923,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
13,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,5,34.48342685494572,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
14,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,6,34.52713184989989,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
15,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,7,35.397415314102545,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
16,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,8,39.100265162065625,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
17,WLStarLearner,random_PDFA_nominal_size_200_10_1,201,201,9,39.5444794211071,3744,7,417.0,9.0,,,0.0,0.0,1.0,0,0,0.0
18,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,1,39.068991400068626,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
19,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,2,39.46336768288165,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
20,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,3,38.85895374906249,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
21,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,4,38.21013084100559,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
22,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,5,38.79510293691419,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
23,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,6,40.46682643215172,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
24,WLStarLearner,random_PDFA_nominal_size_200_10_2,216,216,7,41.05336598586291,3567,6,447.0,8.0,,,0.0,0.0,1.0,0,0,0.0
